Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
29-JUL-2019,INE012A01025,ACC LIMITED,ACC,17078428,2682400,13542106
29-JUL-2019,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,31648000,20762854
29-JUL-2019,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,156144401,17915000,130422180
29-JUL-2019,INE814H01011,ADANI POWER LTD,ADANIPOWER,193065274,122860000,60552010
29-JUL-2019,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,1994300,13563858
29-JUL-2019,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,144403432,22182500,115000760
29-JUL-2019,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,18254499,1601500,15740274
29-JUL-2019,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,67612169,12438000,51793560
29-JUL-2019,INE034A01011,ARVIND LIMITED,ARVIND,29429703,12270000,15688217
29-JUL-2019,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,286973403,106938000,165686732
29-JUL-2019,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562661,8733000,77301527
29-JUL-2019,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56397935,18982000,34596038
29-JUL-2019,INE238A01034,AXIS BANK LIMITED,AXISBANK,406417550,55276800,330819872
29-JUL-2019,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,28252397,2896500,23943277
29-JUL-2019,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,13241860,1162500,11417267
29-JUL-2019,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,51599316,10433250,38586100
29-JUL-2019,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,2348000,12970022
29-JUL-2019,INE028A01039,BANK OF BARODA,BANKBARODA,236709448,84451500,140422475
29-JUL-2019,INE084A01016,BANK OF INDIA,BANKINDIA,58936059,37524000,18465256
29-JUL-2019,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,2899600,8588184
29-JUL-2019,INE263A01024,BHARAT ELECTRONICS LTD,BEL,200653302,40698000,149922636
29-JUL-2019,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48597002,2800600,43366551
29-JUL-2019,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50501678,9060000,38916594
29-JUL-2019,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,382337636,33412401,329808353
29-JUL-2019,INE257A01026,BHEL,BHEL,256482590,61312500,182345960
29-JUL-2019,INE376G01013,BIOCON LIMITED.,BIOCON,91126560,15906600,70663632
29-JUL-2019,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,160350,1490448
29-JUL-2019,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202631356,14698800,177800988
29-JUL-2019,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23714500,2217000,20311775
29-JUL-2019,INE836A01035,BIRLASOFT LIMITED,BSOFT,31111330,2259300,27296463
29-JUL-2019,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51610474,15155200,33874750
29-JUL-2019,INE476A01014,CANARA BANK,CANBK,40260000,13368000,24879000
29-JUL-2019,INE172A01027,CASTROL INDIA LIMITED,CASTROLIND,96933993,9826000,82261293
29-JUL-2019,INE055A01016,CENTURY TEXTILES LTD,CENTURYTEX,11123542,4355400,6211964
29-JUL-2019,INE486A01013,CESC LTD,CESC,13275380,1096800,11514811
29-JUL-2019,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,73394285,3650000,66074570
29-JUL-2019,INE059A01026,CIPLA LTD,CIPLA,101924066,12156000,84671862
29-JUL-2019,INE522F01014,COAL INDIA LTD,COALINDIA,357942309,43080400,296964793
29-JUL-2019,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,2046800,23275062
29-JUL-2019,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,1952187,50375593
29-JUL-2019,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,2103500,23703689
29-JUL-2019,INE016A01026,DABUR INDIA LTD,DABUR,113409892,14256250,93483147
29-JUL-2019,INE202B01012,DEWAN HOUSING FIN CORP LT,DHFL,38154662,21456000,14790928
29-JUL-2019,INE836F01026,DISH TV INDIA LTD.,DISHTV,154703024,112112000,34855872
29-JUL-2019,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25479844,3026000,21179851
29-JUL-2019,INE271C01023,DLF LIMITED,DLF,124016568,43713600,74102139
29-JUL-2019,INE089A01023,DR. REDDY'S LABORATORIES,DRREDDY,24277888,4075500,18988493
29-JUL-2019,INE066A01013,EICHER MOTORS LTD,EICHERMOT,2765409,450975,2176163
29-JUL-2019,INE510A01028,ENGINEERS INDIA LTD,ENGINERSIN,60669485,9255200,48380810
29-JUL-2019,INE988K01017,EQUITAS HOLDINGS LIMITED,EQUITAS,68292299,14936000,49941684
29-JUL-2019,INE042A01014,ESCORTS INDIA LTD,ESCORTS,14689342,7845200,6109674
29-JUL-2019,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,91809066,10195200,77023412
29-JUL-2019,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,391155305,48412000,323185539
29-JUL-2019,INE129A01019,GAIL (INDIA) LTD,GAIL,423510240,42832020,359502708
29-JUL-2019,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30166859,5519000,23139516
29-JUL-2019,INE776C01039,GMR INFRASTRUCTURE LTD.,GMRINFRA,440440544,181710000,236708516
29-JUL-2019,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,75135565,6152800,65225986
29-JUL-2019,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,78448563,14559750,59966384
29-JUL-2019,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,50509139,8343000,39640682
29-JUL-2019,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,108492241,9779700,93287928
29-JUL-2019,INE001A01036,HDFC LTD,HDFC,344287478,29777500,297295604
29-JUL-2019,INE040A01026,HDFC BANK LTD,HDFCBANK,323101109,17990000,288956053
29-JUL-2019,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,26112160,2624200,22182352
29-JUL-2019,INE093A01033,HEXAWARE TECHNOLOGIES LTD,HEXAWARE,22276935,2578500,18584588
29-JUL-2019,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,292543700,41576500,236340015
29-JUL-2019,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,304764525,19559400,269966898
29-JUL-2019,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,142058309,11575800,123379593
29-JUL-2019,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,296432938,7884800,273726491
29-JUL-2019,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,66562936,22704800,40529989
29-JUL-2019,INE090A01021,ICICI BANK LTD.,ICICIBANK,968362986,100364000,819580836
29-JUL-2019,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,71832339,6030000,62210722
29-JUL-2019,INE008A01015,IDBI BANK LIMITED,IDBI,39323831,25104000,12253639
29-JUL-2019,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1633625320,591696000,960248054
29-JUL-2019,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,573801144,169992000,375119086
29-JUL-2019,INE203G01027,INDRAPRASTHA GAS LTD,IGL,77000080,4958250,68191826
29-JUL-2019,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,19270843,4029600,14277700
29-JUL-2019,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,89525893,12636400,72413198
29-JUL-2019,INE121J01017,BHARTI INFRATEL LTD.,INFRATEL,171838121,8244000,155002214
29-JUL-2019,INE009A01021,INFOSYS LIMITED,INFY,756245224,69637200,648795762
29-JUL-2019,INE242A01010,INDIAN OIL CORP LTD,IOC,900401892,66010000,789371797
29-JUL-2019,INE154A01025,ITC LTD,ITC,2447582534,102590400,2222613007
29-JUL-2019,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,79976268,42086400,33891054
29-JUL-2019,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,274121082,55744000,204671027
29-JUL-2019,INE797F01012,JUBILANT FOODWORKS LTD,JUBLFOOD,15269719,3549000,10957233
29-JUL-2019,INE599M01018,JUSTDIAL LTD.,JUSTDIAL,8568167,3474800,4664958
29-JUL-2019,INE217B01036,KAJARIA CERAMICS LTD,KAJARIACER,16665013,2362100,13469662
29-JUL-2019,INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,267257772,10302800,243592083
29-JUL-2019,INE498L01015,L&T FINANCE HOLDINGS LTD,L&TFH,144258431,42156000,94889509
29-JUL-2019,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,8354500,48877395
29-JUL-2019,INE018A01030,LARSEN & TOUBRO LTD.,LT,275980558,15916125,246265405
29-JUL-2019,INE326A01037,LUPIN LIMITED,LUPIN,47989611,9346400,36243730
29-JUL-2019,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,174326068,26043000,139566764
29-JUL-2019,INE774D01024,M&M FIN. SERVICES LTD,M&MFIN,59733811,16891250,39855870
29-JUL-2019,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,109330743,18006000,85858205
29-JUL-2019,INE196A01026,MARICO LIMITED,MARICO,103810001,9430200,89189300
29-JUL-2019,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,26458324,5535900,19599507
29-JUL-2019,INE854D01024,UNITED SPIRITS LIMITED,MCDOWELL-N,62845623,11718750,47984591
29-JUL-2019,INE745G01035,MULTI COMMODITY EXCHANGE,MCX,10173586,1667400,7997506
29-JUL-2019,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,38616434,2725200,33960412
29-JUL-2019,INE002S01010,MAHANAGAR GAS LTD.,MGL,11359449,1132800,9658676
29-JUL-2019,INE018I01017,MINDTREE LIMITED,MINDTREE,28409718,1974600,25014632
