Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
21-FEB-2019,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,50080000,No Fresh Positions
21-FEB-2019,INE814H01011,ADANI POWER LTD,ADANIPOWER,193065274,184340000,No Fresh Positions
21-FEB-2019,INE428A01015,ALLAHABAD BANK,ALBK,50696289,50869000,No Fresh Positions
21-FEB-2019,INE008A01015,IDBI BANK LIMITED,IDBI,39323831,36080000,No Fresh Positions
21-FEB-2019,INE802G01018,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS,11132543,10839400,No Fresh Positions
21-FEB-2019,INE455I01029,KAVERI SEED CO. LTD.,KSCL,5669882,5181000,No Fresh Positions
21-FEB-2019,INE785M01013,PC JEWELLER LTD,PCJEWELLER,33475537,29958500,No Fresh Positions
21-FEB-2019,INE013A01015,RELIANCE CAPITAL LTD,RELCAPITAL,23702036,20610000,No Fresh Positions
21-FEB-2019,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,26054178,21769800,No Fresh Positions
21-FEB-2019,INE614G01033,RELIANCE POWER LTD.,RPOWER,140233556,128688000,No Fresh Positions
21-FEB-2019,INE012A01025,ACC LIMITED,ACC,17078428,2776400,13448106
21-FEB-2019,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,156144401,25460000,122877180
21-FEB-2019,INE031B01049,AJANTA PHARMA LIMITED,AJANTPHARM,5196948,1463500,3473600
21-FEB-2019,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,1576400,13981758
21-FEB-2019,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,144327988,19992500,117119088
21-FEB-2019,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,18254499,2025500,15316274
21-FEB-2019,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,67723169,15027000,49310010
21-FEB-2019,INE034A01011,ARVIND LIMITED,ARVIND,29429703,9782000,18176217
21-FEB-2019,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,286973403,145580000,127044732
21-FEB-2019,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562661,7679400,78355127
21-FEB-2019,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56396335,25481000,28095518
21-FEB-2019,INE238A01034,AXIS BANK LIMITED,AXISBANK,380572741,58735200,302808903
21-FEB-2019,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,29341807,3226250,24648466
21-FEB-2019,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,13248060,843000,11742657
21-FEB-2019,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,51558770,7826250,41154581
21-FEB-2019,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,2914400,12403622
21-FEB-2019,INE028A01039,BANK OF BARODA,BANKBARODA,191844279,89904000,92348065
21-FEB-2019,INE084A01016,BANK OF INDIA,BANKINDIA,58936059,44034000,11955256
