Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
01-OCT-2015,INE069A01017,ADITYA BIRLA NUVO LIMITED,ABIRLANUVO,10506500,563625,9417550
01-OCT-2015,INE012A01025,ACC LIMITED,ACC,18663247,1182500,16547584
01-OCT-2015,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,54990504,12413500,39827478
01-OCT-2015,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,181154657,21079800,151017124
01-OCT-2015,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,67092000,166470036
01-OCT-2015,INE031B01049,AJANTA PHARMA LIMITED,AJANTPHARM,4614298,565850,3817733
01-OCT-2015,INE428A01015,ALLAHABAD BANK,ALBK,44762154,9496000,33028046
01-OCT-2015,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,810100,14748058
01-OCT-2015,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,147975551,10723600,129853173
01-OCT-2015,INE130C01021,AMTEK AUTO LTD.,AMTEKAUTO,22481055,7700000,13657002
01-OCT-2015,INE434A01013,ANDHRA BANK,ANDHRABANK,47000000,13200000,31450000
01-OCT-2015,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,18095256,693750,16496743
01-OCT-2015,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,56953405,10017000,44088734
01-OCT-2015,INE034A01011,ARVIND LIMITED,ARVIND,29036682,4989900,22594947
01-OCT-2015,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,277796819,78367000,185539978
01-OCT-2015,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562661,3922150,82112377
01-OCT-2015,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,53822595,15272900,35858565
01-OCT-2015,INE238A01034,AXIS BANK LIMITED,AXISBANK,318232794,40589000,261732154
01-OCT-2015,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,29363058,1811850,26083055
01-OCT-2015,INE296A01016,BAJAJ FINANCE LIMITED,BAJFINANCE,4547773,169000,4151384
01-OCT-2015,INE028A01039,BANK OF BARODA,BANKBARODA,187843804,36020900,142430713
01-OCT-2015,INE084A01016,BANK OF INDIA,BANKINDIA,42779100,14634000,26006145
01-OCT-2015,INE176A01010,BATA INDIA LTD,BATAINDIA,6046202,1000750,4743141
01-OCT-2015,INE263A01016,BHARAT ELECTRONICS LTD,BEL,11991474,2879925,8511975
01-OCT-2015,INE258A01016,BEML LIMITED,BEML,3828900,83500,3553955
01-OCT-2015,INE465A01025,BHARAT FORGE LTD,BHARATFORG,24793439,4414000,19139767
01-OCT-2015,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,276222660,24728600,237682927
01-OCT-2015,INE257A01026,BHEL,BHEL,180829600,25451000,146337120
01-OCT-2015,INE376G01013,BIOCON LIMITED.,BIOCON,15590310,2823800,11986994
01-OCT-2015,INE323A01026,BOSCH LIMITED,BOSCHLTD,1809896,128275,1591126
01-OCT-2015,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,65176825,6265900,55652083
01-OCT-2015,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11820583,934125,10295428
01-OCT-2015,INE010B01019,CADILA HEALTHCARE LIMITED,CADILAHC,10322094,194100,9611889
01-OCT-2015,INE910H01017,CAIRN INDIA LIMITED,CAIRN,150427750,10811000,132095362
01-OCT-2015,INE476A01014,CANARA BANK,CANBK,28600000,10422000,16748000
01-OCT-2015,INE172A01027,CASTROL INDIA LIMITED,CASTROLIND,28653895,794400,26426800
01-OCT-2015,INE482A01020,CEAT LIMITED,CEATLTD,3983270,2101100,1683006
01-OCT-2015,INE055A01016,CENTURY TEXTILES LTD,CENTURYTEX,11121908,7954400,2611412
01-OCT-2015,INE486A01013,CESC LTD,CESC,13266244,1771500,10831431
01-OCT-2015,INE059A01026,CIPLA LTD,CIPLA,97803568,11074400,81838989
01-OCT-2015,INE522F01014,COAL INDIA LTD,COALINDIA,257078763,18506200,225718624
01-OCT-2015,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,1912500,23409362
01-OCT-2015,INE067A01029,CROMPTON GREAVES LTD,CROMPGREAV,82064245,14970000,62991032
01-OCT-2015,INE016A01026,DABUR INDIA LTD,DABUR,111872097,3135000,103143492
