Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
25-FEB-2019,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,45880000,No Fresh Positions
25-FEB-2019,INE814H01011,ADANI POWER LTD,ADANIPOWER,193065274,170580000,No Fresh Positions
25-FEB-2019,INE428A01015,ALLAHABAD BANK,ALBK,50696289,42666000,No Fresh Positions
25-FEB-2019,INE008A01015,IDBI BANK LIMITED,IDBI,39323831,34840000,No Fresh Positions
25-FEB-2019,INE802G01018,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS,11132543,10287200,No Fresh Positions
25-FEB-2019,INE614G01033,RELIANCE POWER LTD.,RPOWER,140233556,122224000,No Fresh Positions
25-FEB-2019,INE012A01025,ACC LIMITED,ACC,17078428,3156800,13067706
25-FEB-2019,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,156144401,36270000,112067180
25-FEB-2019,INE031B01049,AJANTA PHARMA LIMITED,AJANTPHARM,5196948,1527500,3409600
25-FEB-2019,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,1404900,14153258
25-FEB-2019,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,144327988,19087500,118024088
25-FEB-2019,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,18254499,2067000,15274774
25-FEB-2019,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,67723169,15486000,48851010
25-FEB-2019,INE034A01011,ARVIND LIMITED,ARVIND,29429703,12080000,15878217
25-FEB-2019,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,286973403,147832000,124792732
25-FEB-2019,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562661,7671600,78362927
25-FEB-2019,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56396335,27467000,26109518
25-FEB-2019,INE238A01034,AXIS BANK LIMITED,AXISBANK,380572741,58899600,302644503
25-FEB-2019,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,29341807,3399000,24475716
25-FEB-2019,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,13248060,830125,11755532
25-FEB-2019,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,51558770,7746250,41234581
25-FEB-2019,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,2809600,12508422
