Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
20-FEB-2019,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,50408000,No Fresh Positions
20-FEB-2019,INE008A01015,IDBI BANK LIMITED,IDBI,39323831,38820000,No Fresh Positions
20-FEB-2019,INE802G01018,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS,11132543,11165000,No Fresh Positions
20-FEB-2019,INE455I01029,KAVERI SEED CO. LTD.,KSCL,5669882,6159000,No Fresh Positions
20-FEB-2019,INE785M01013,PC JEWELLER LTD,PCJEWELLER,33475537,31141500,No Fresh Positions
20-FEB-2019,INE013A01015,RELIANCE CAPITAL LTD,RELCAPITAL,23702036,24612000,No Fresh Positions
20-FEB-2019,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,26054178,22675900,No Fresh Positions
20-FEB-2019,INE614G01033,RELIANCE POWER LTD.,RPOWER,140233556,131632000,No Fresh Positions
20-FEB-2019,INE012A01025,ACC LIMITED,ACC,17078428,2798400,13426106
20-FEB-2019,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,156144401,26352500,121984680
20-FEB-2019,INE814H01011,ADANI POWER LTD,ADANIPOWER,193065274,171980000,11432010
20-FEB-2019,INE031B01049,AJANTA PHARMA LIMITED,AJANTPHARM,5196948,1437000,3500100
20-FEB-2019,INE428A01015,ALLAHABAD BANK,ALBK,50696289,38818000,9343474
20-FEB-2019,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,1620500,13937658
20-FEB-2019,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,144327988,21450000,115661588
20-FEB-2019,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,18254499,1940000,15401774
20-FEB-2019,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,67723169,14625000,49712010
20-FEB-2019,INE034A01011,ARVIND LIMITED,ARVIND,29429703,9814000,18144217
20-FEB-2019,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,286973403,144680000,127944732
20-FEB-2019,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562661,7688400,78346127
20-FEB-2019,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56396335,25505000,28071518
20-FEB-2019,INE238A01034,AXIS BANK LIMITED,AXISBANK,380572741,57136800,304407303
